English,Spanish
you,Uds
to,a
the,el
a or A.,a o A.
and,y
that,ese
it,eso
of,de
me,yo
what,que
is,es
in,en
this,esta
know,saber
I'm,estoy
for,por
no,No
have,tener
my,mi
don't,no
just,solo
not,no
do,hacer
be,ser
on,sobre
your,tu
was,era
we,nosotros
it's,es
with,con
so,entonces
but,pero
all,todo
well,bien
are,son
he,�l
oh,Oh
about,acerca de
right,derecho
get,obtener
out,fuera
going,yendo
like,me gusta
if,Si
her,ella
she,ella
can,poder
up,arriba
want,desear
think,pensar
that's,ese es
now,ahora
go,Vamos
at,en
got,tiene
one,una
did,hizo
see,ver
come,venir
good,bien
they,ellos
really,De Verdad
as,como
look,Mira
time,hora
okay,bueno
back,espalda
mean,significar
tell,contar
I'll,voy a
from,desde
hey,Oye
were,fueron
could,pudo
didn't,no
his,su
been,estado
or,o
something,algo
because,porque
some,algunos
had,tenido
then,entonces
say,decir
ok,OK
take,llevar
an,un
way,camino
us,nosotros
make,fabricar
need,necesitar
gonna,ir a
never,nunca
we're,fueron
love,amor
she's,ella esta
I've,He
sure,seguro
them,ellos
over,encima
our,nuestro
sorry,lo siento
where,donde
let,dejar
thing,cosa
am,soy
down,abajo
man,hombre
has,posee
uh,Oh
very,muy
by,por
there's,hay
anything,cualquier cosa
said,dicho
much,mucho
life,vida
even,incluso
off,apagado
please,por favor
doing,haciendo
thank,gracias
give,dar
only,solo
help,ayuda
two,dos
talk,hablar
people,personas
god,Dios
wait,Espere
into,en
find,encontrar
nothing,nada
again,de nuevo
things,cosas
let's,vamos
doesn't,no
call,llamar
told,dijo
great,estupendo
before,antes de
better,mejor
ever,alguna vez
night,noche
than,que
away,lejos
first,primero
believe,creer
other,otro
feel,sentir
everything,todo
work,trabajo
you've,tienes
fine,multa
home,casa
last,ultimo
these,estos
keep,mantenerse
does,lo hace
put,poner
around,alrededor
stop,detener
they're,son
guy,chico
long,largo
isn't,no es
always,siempre
listen,escucha
wanted,querido
guys,tipo
huh,eh
those,aquellos
big,grande
lot,lote
thanks,Gracias
kind,amable
wrong,incorrecto
through,mediante
talking,hablando
made,hecho
new,nuevo
being,ser
guess,adivinar
hi,Hola
care,cuidado
bad,malo
remember,recordar
getting,consiguiendo
we'll,bien
together,juntos
dad,padre
leave,salir
place,lugar
understand,comprender
actually,Realmente
hear,escuchar
nice,bonito
father,padre
stay,permanecer
done,hecho
wasn't,no estaba
their,su
course,curso
mind,mente
every,cada
enough,suficiente
try,tratar
hell,infierno
someone,alguien
own,propio
family,familia
whole,entero
another,otro
house or House,casa o casa
Jack or jack,Jack o Jack
idea,ocurrencia
ask,preguntar
best,mejor
must,deber
coming,viniendo
old,viejo
looking,buscando
woman,mujer
hello,Hola
which,cual
money,dinero
left,izquierda
knew,supo
tonight,esta noche
real,VERDADERO
son,hijo
hope,esperanza
name,nombre
same,mismo
went,fuimos
um,um
hmm,mmm
happy,feliz
pretty,bonito
saw,vio
girl,muchacha
show,show
friend,amigo
already,ya
saying,diciendo
may or May,puede o puede
next,Siguiente
three,Tres
job,trabajo
problem,problema
minute,minuto
found,fundar
world,mundo
thinking,pensando
haven't,no tiene
honey,miel
matter,importar
myself,yo mismo
exactly,exactamente
having,teniendo
ah,ah
probably,probablemente
happen,ocurrir
we've,Hemos
hurt,herir
boy,chico
both,ambos
while,mientras
dead,muerto
gotta,tengo que
alone,solo
since,ya que
excuse,excusa
start,comienzo
kill,matar
hard,duro
you'd,usted
today,hoy dia
car,carro
ready,Listo
until,hasta
without,sin que
whatever,lo que
wants,quiere
hold,sostener
wanna,querer
seen,visto
deal,acuerdo
once,una vez
gone,desaparecido
called,llamado
supposed,supuesto
friends,amigos
head,cabeza
stuff,cosas
used,usado
worry,preocuparse
second,segundo
part,parte
live,En Vivo
truth,verdad
school,colegio
face,rostro
forget,olvidar
TRUE,CIERTO
business,negocio
each,cada
cause,porque
soon,pronto
knows,conocido
few,pocos
wife,esposa
who's,quien es
use,usar
chance,oportunidad
run,correr
move,Muevete
anyone,alguien
person,persona
J.,J.
somebody,alguien
Dr. or dr.,Dr. o Dr.
such,semejante
miss,perder
married,casado
point,punto
making,haciendo
meet,reunirse
anyway,de todos modos
many,muchos
damn,maldita sea
looks,mira
bring,traer
case,caso
turn,turno
wish,deseo
trust,confianza
check,cheque
change,cambio
end,fin
late,tarde
five,cinco
least,menos
town,pueblo
aren't,no son
ha,decir ah
working,laboral
makes,hace
taking,tomando
means,medio
brother,hermano
play,tocar
hate,odio
says,dice
beautiful,hermosa
gave,dio
fact,hecho
crazy,loco
party,fiesta
sit,sentarse
open,abierto
afraid,temeroso
between,Entre
important,importante
rest,descansar
fun,divertida
word,palabra
watch,reloj
glad,contento
everyone,todos
sister,hermana
minutes,minutos
everybody,todos
bit,un poco
couple,pareja
whoa,whoa
either,cualquiera
feeling,sentimiento
daughter,hija
wow,Guau
gets,obtiene
asked,pedido
under,bajo
break,descanso
promise,promesa
door,puerta
set,colocar
close,cerca
hand,mano
question,pregunta
tried,intentado
far,lejos
walk,caminar
needs,necesidades
trouble,problema
mine,Mia
though,sin embargo
times,veces
different,diferente
killed,delicado
hospital,hospital
anybody,cualquiera
Sam or SAM,Sam o Sam
alright,bien
wedding,Boda
shut,cerrado
able,poder
die,morir
perfect,Perfecto
stand,estar
comes,llega
hit,pegar
story,historia
ya,ya
mm,mm
waiting,espera
dinner,cena
against,contra
funny,gracioso
husband,esposo
almost,casi
stupid,estúpido
pay,pagar
answer,respuesta
four,cuatro
office,oficina
cool,frio
eyes,ojos
news,Noticias
half,mitad
side,lado
yours,tuya
moment,momento
sleep,dormir
read,leer
where's,donde esta
started,empezado
young,joven
men,hombres
sounds,sonidos
sonny or Sonny,Sonny o Sonny
lucky,suerte
pick,elegir
sometimes,algunas veces
em,em
bed,cama
date,fecha
plan,plan
hours,horas
lose,perder
fire,fuego
free,gratis
hands,manos
serious,grave
shit,mierda
inside,dentro
high,alto
ahead,adelante
week,semana
wonderful,maravilloso
T.,T.
fight,pelear
past,pasado
cut,cortar
quite,bastante
he'll,infierno
sick,enfermo
S.,S.
it'll,es
game,juego
eat,come
nobody,nadie
goes,va
death,muerte
along,a lo largo de
save,ahorrar
seems,parece
finally,por fin
lives,vidas
worried,preocupado
upset,disgustado
Theresa,Hay una
Carly,Carly
Ethan,Ethan
book,libro
brought,trajo
seem,parecer
sort,clasificar
safe,a salvo
living,viviendo
weren't,no estaban
leaving,dejando
front,parte delantera
shot,Disparo
loved,amado
asking,pidiendo
running,corriendo
clear,claro
figure,figura
hot,caliente
six,seis
parents,padres
drink,beber
absolutely,absolutamente
how's,Como es
daddy,papi
sweet,dulce
alive,viva
Paul,Paul
sense,sentido
meant,quiso decir
happens,sucede
David,David
special,especial
bet,apuesta
blood,sangre
ain't,no es
kidding,es una broma
lie,mentir
full,completo
dear,querido
seeing,viendo
sound,sonar
fault,culpa
water,agua
fuck,Mierda
ten,diez
women,mujer
John or john,John o john
welcome,bienvenidos
buy,comprar
months,meses
hour,hora
speak,hablar
Jen,Jen
thinks,piensa
Christmas,Navidad
body,cuerpo
order,pedido
outside,fuera de
hang,colgar
possible,posible
worse,peor
company,empresa
mistake,Error
ooh,Oh
handle,resolver
spend,gastar
C.,C.
totally,totalmente
control,control
marriage,matrimonio
realize,darse cuenta de
D.,D.
president,presidente
unless,a no ser que
sex,sexo
girls,muchachas
send,enviar
needed,necesario
O. or o,O. o O
taken,tomado
scared,asustado
picture,imagen
Jake,Jake
Al,Alabama
ass,culo
hundred,centenar
completely,completamente
explain,explique
playing,jugando
certainly,ciertamente
sign,firmar
Michael,Miguel
loves,ama
fucking,maldito
hair,cabello
lying,mintiendo
anywhere,en cualquier lugar
secret,secreto
future,futuro
luck,suerte
Max or max.,Max o max.
Luis,Luis
turned,convertido
known,conocido
touch,tocar
kiss,Beso
questions,preguntas
obviously,obviamente
wonder,preguntarse
pain,dolor
somewhere,algun lado
throw,lanzar
straight,derecho
Grace or grace,Gracia o gracia
white or White,blanco o blanco
Natalie,Natalie
words,palabras
R.,R.
food,comida
none,ninguna
drive,conducir
feelings,sentimientos
they'll,Ellos
marry,casar
light,ligero
test,prueba
drop,soltar
cannot,no puede
Frank,Franco
sent,enviado
city,ciudad
protect,proteger
twenty,veinte
class,clase
Lucy,Lucy
surprise,sorpresa
its,su
forever,Siempre
poor,pobre
mad,enojado
except,excepto
gun,pistola
y'know,ya sabes
dance,danza
takes,acepta
appreciate,agradecer
especially,especialmente
weeks,semanas
pull,jalar
hasn't,no tiene
act,actuar
worth,valor
Sheridan,Sheridan
top,cima
given,dado
expect,suponer
Ben,Ben
rather,bastante
Julian,Julian
involved,involucrado
swear,jurar
piece,pieza
busy,ocupado
law,ley
decided,decidido
black or Black,negro o negro
Joey,Joey
happening,sucediendo
we'd,casarse
catch,captura
Antonio,Antonio
less,menos
step,paso
fall,caer
watching,mirando
darling,querida
dog,perro
Ms.,Em.
win,victoria
air,aire
honor,honor
personal,personal
moving,Moviente
till,hasta
admit,admitir
problems,problemas
murder,asesinato
strong,fuerte
evil,mal
definitely,definitivamente
feels,siente
honest,honesto
eye,ojo
missed,omitido
tired,cansado
Jason,Jason
George,Jorge
evening,noche
human,humano
starting,a partir de
Ross,Ross
red,rojo
entire,completo
trip,viaje
Brooke,Brooke
E.,MI.
club,club
Niles,Niles
suppose,suponer
calm,calma
imagine,imagina
Todd,Todd
fair,justo
B.,B.
blame,culpar
street,calle
favor,favor
apartment,Departamento
court,Corte
terrible,terrible
clean,limpio
Tony or tony,Tony o Tony
learn,aprender
Alison,Alison
Rick,Almiar
works,obras
Rose or rose,Rosa o rosa
Frasier,Frasier
relax,relajarse
York,York
charity,caridad
accident,accidente
wake,despertar
prove,probar
Danny,Danny
smart,inteligente
message,mensaje
missing,desaparecido
interested,interesado
table,mesa
nbsp,nbsp
become,convertirse en
Craig,Craig
mouth,boca
pregnant,embarazada
middle,medio
Billy or billy,Billy o Billy
ring,anillo
careful,Cuidado
dude,tipo
team,equipo
ride,montar
figured,figurado
wear,llevar
shoot,disparo
stick,palo
Ray or ray,Ray o Ray
follow,seguir
Bo,Bo
angry,enojado
instead,en lugar de
buddy,amigo
write,escribir
stopped,detenido
early,temprano
Nick or nick,Nick o Nick
war,guerra
standing,de pie
forgive,perdonar
jail,celda
wearing,agotador
Miguel,Miguel
kinda,un poco
lunch,comida
Cristian,Cristian
eight,ocho
Greenlee,Greenlee
gotten,conseguido
hoping,esperando
Phoebe,Phoebe
thousand,mil
ridge,cresta
Luke,Lucero
paper,papel
tape,cinta
Emily,Emily
state,Expresar
count,contar
college,Universidad
boyfriend,novio
proud,orgulloso
agree,estar de acuerdo
bill,factura
seven,Siete
they've,ellos han
Timmy,Timmy
history,historia
share,Cuota
offer,oferta
hurry,apurarse
ow,Ay
feet,pies
wondering,preguntarse
simple,simple
building,edificio
ones,unos
finish,terminar
voice,voz
Chris,Chris
would've,hubiera
list,lista
Kay,Kay
mess,desorden
deserve,merecer
evidence,evidencia
cute,lindo
dress,vestir
Richard,Ricardo
interesting,interesante
James,Jaime
hotel,hotel
enjoy,disfrutar
Ryan,Ryan
Lindsay,Lindsay
quiet,tranquilo
concerned,preocupado
road,camino
Eve or eve,Eva o Eva
staying,quedarse
short,corto
M.,METRO.
beat,derrotar
mention,mencionar
clothes,ropa
finished,terminado
neither,ninguno de los dos
mmm,mmm
fix,arreglar
Victor or victor,Victor o Victor
respect,respeto
spent,gastado
holding,tenencia
calls,llamadas
near,cerca
surprised,sorprendido
bar,bar
Beth,Beth
pass,aprobar
keeping,acuerdo
gift,regalo
putting,poniendo
dark,oscuro
self,uno mismo
owe,deber
using,utilizando
Nora,Nora
ice,hielo
helping,Ayudar
bitch,perra
normal,normal
lawyer,abogado
apart,aparte
certain,cierto
plans,planes
Jax,Jax
girlfriend,Novia
floor,piso
whether,ya sea
everything's,todo es
present,regalo
earth,tierra
private,privado
Jessica,Jessica
box,caja
Dawson,Dawson
cover,cubrir
judge,juez
upstairs,piso de arriba
Alexis,Alexis
Shawn,Shawn
sake,motivo
mommy,mami
possibly,posiblemente
worst,peor
